Batch Size: 16, Hidden Layers: [4], Activation: relu, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1692, Accuracy: 46.33%
Batch Size: 32, Hidden Layers: [4, 8], Activation: relu, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0500, Accuracy: 53.47%
Batch Size: 64, Hidden Layers: [4, 8], Activation: relu, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0616, Accuracy: 55.10%
Batch Size: 16, Hidden Layers: [4, 8], Activation: relu, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.1234, Accuracy: 50.20%
Batch Size: 32, Hidden Layers: [4, 8], Activation: relu, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.2605, Accuracy: 49.80%
Batch Size: 64, Hidden Layers: [4, 8], Activation: relu, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.3806, Accuracy: 41.02%
Batch Size: 16, Hidden Layers: [4, 8], Activation: relu, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1746, Accuracy: 49.59%
Batch Size: 32, Hidden Layers: [4, 8], Activation: relu, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1445, Accuracy: 50.00%
Batch Size: 64, Hidden Layers: [4, 8], Activation: relu, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0276, Accuracy: 56.73%
Batch Size: 16, Hidden Layers: [4, 8], Activation: relu, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0647, Accuracy: 56.12%
Batch Size: 32, Hidden Layers: [4, 8], Activation: relu, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0635, Accuracy: 49.18%
Batch Size: 64, Hidden Layers: [4, 8], Activation: relu, LR: 0.01, Epochs: 100, Validation Loss (MSE): 0.9981, Accuracy: 58.57%
Batch Size: 16, Hidden Layers: [4, 8], Activation: relu, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0229, Accuracy: 57.55%
Batch Size: 32, Hidden Layers: [4, 8], Activation: relu, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0557, Accuracy: 53.67%
Batch Size: 64, Hidden Layers: [4, 8], Activation: relu, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0379, Accuracy: 55.92%
Batch Size: 16, Hidden Layers: [4, 8], Activation: relu, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1069, Accuracy: 53.27%
Batch Size: 32, Hidden Layers: [4, 8], Activation: relu, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1865, Accuracy: 47.55%
Batch Size: 64, Hidden Layers: [4, 8], Activation: relu, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.2326, Accuracy: 52.86%
Batch Size: 16, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0683, Accuracy: 55.31%
Batch Size: 32, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0492, Accuracy: 53.67%
Batch Size: 64, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0222, Accuracy: 56.53%
Batch Size: 16, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0653, Accuracy: 53.27%
Batch Size: 32, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0630, Accuracy: 53.47%
Batch Size: 64, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0681, Accuracy: 55.31%
Batch Size: 16, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.2407, Accuracy: 49.18%
Batch Size: 32, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.2384, Accuracy: 49.18%
Batch Size: 64, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.2963, Accuracy: 49.18%
Batch Size: 16, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.4064, Accuracy: 49.18%
Batch Size: 32, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.6535, Accuracy: 26.12%
Batch Size: 64, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.5202, Accuracy: 27.55%
Batch Size: 16, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1512, Accuracy: 53.27%
Batch Size: 32, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0728, Accuracy: 50.82%
Batch Size: 64, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0533, Accuracy: 50.61%
Batch Size: 16, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0329, Accuracy: 55.10%
Batch Size: 32, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0659, Accuracy: 57.14%
Batch Size: 64, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0155, Accuracy: 56.12%
Batch Size: 16, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0756, Accuracy: 52.65%
Batch Size: 32, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0953, Accuracy: 52.45%
Batch Size: 64, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.1130, Accuracy: 52.45%
Batch Size: 16, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.2443, Accuracy: 49.18%
Batch Size: 32, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.2573, Accuracy: 49.18%
Batch Size: 64, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.4046, Accuracy: 49.39%
Batch Size: 16, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1052, Accuracy: 53.27%
Batch Size: 32, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1055, Accuracy: 53.27%
Batch Size: 64, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0956, Accuracy: 54.69%
Batch Size: 16, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0622, Accuracy: 54.69%
Batch Size: 32, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0337, Accuracy: 55.31%
Batch Size: 64, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0502, Accuracy: 54.08%
Batch Size: 16, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0648, Accuracy: 54.29%
Batch Size: 32, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0572, Accuracy: 54.49%
Batch Size: 64, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0736, Accuracy: 53.47%
Batch Size: 16, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1968, Accuracy: 49.18%
Batch Size: 32, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.2433, Accuracy: 49.18%
Batch Size: 64, Hidden Layers: [4, 8], Activation: sigmoid, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.2655, Accuracy: 49.18%
Batch Size: 16, Hidden Layers: [4, 8], Activation: tanh, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.2103, Accuracy: 47.76%
Batch Size: 32, Hidden Layers: [4, 8], Activation: tanh, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0986, Accuracy: 50.61%
Batch Size: 64, Hidden Layers: [4, 8], Activation: tanh, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1029, Accuracy: 52.04%
Batch Size: 16, Hidden Layers: [4, 8], Activation: tanh, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0492, Accuracy: 54.69%
Batch Size: 32, Hidden Layers: [4, 8], Activation: tanh, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0444, Accuracy: 53.47%
Batch Size: 64, Hidden Layers: [4, 8], Activation: tanh, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0366, Accuracy: 54.08%
Batch Size: 16, Hidden Layers: [4, 8], Activation: tanh, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.0779, Accuracy: 52.45%
Batch Size: 32, Hidden Layers: [4, 8], Activation: tanh, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.0979, Accuracy: 53.06%
Batch Size: 64, Hidden Layers: [4, 8], Activation: tanh, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.1588, Accuracy: 52.45%
Batch Size: 16, Hidden Layers: [4, 8], Activation: tanh, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.4554, Accuracy: 51.02%
Batch Size: 32, Hidden Layers: [4, 8], Activation: tanh, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.8457, Accuracy: 20.20%
Batch Size: 64, Hidden Layers: [4, 8], Activation: tanh, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.7669, Accuracy: 27.55%
Batch Size: 16, Hidden Layers: [4, 8], Activation: tanh, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1813, Accuracy: 41.63%
Batch Size: 32, Hidden Layers: [4, 8], Activation: tanh, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1405, Accuracy: 47.35%
Batch Size: 64, Hidden Layers: [4, 8], Activation: tanh, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0886, Accuracy: 52.45%
Batch Size: 16, Hidden Layers: [4, 8], Activation: tanh, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0622, Accuracy: 54.29%
Batch Size: 32, Hidden Layers: [4, 8], Activation: tanh, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0287, Accuracy: 56.12%
Batch Size: 64, Hidden Layers: [4, 8], Activation: tanh, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0289, Accuracy: 57.14%
Batch Size: 16, Hidden Layers: [4, 8], Activation: tanh, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0536, Accuracy: 55.51%
Batch Size: 32, Hidden Layers: [4, 8], Activation: tanh, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0566, Accuracy: 55.51%
Batch Size: 64, Hidden Layers: [4, 8], Activation: tanh, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0632, Accuracy: 52.65%
Batch Size: 16, Hidden Layers: [4, 8], Activation: tanh, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.1226, Accuracy: 53.47%
Batch Size: 32, Hidden Layers: [4, 8], Activation: tanh, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.1753, Accuracy: 55.10%
Batch Size: 64, Hidden Layers: [4, 8], Activation: tanh, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.2905, Accuracy: 50.61%
Batch Size: 16, Hidden Layers: [4, 8], Activation: tanh, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1624, Accuracy: 48.98%
Batch Size: 32, Hidden Layers: [4, 8], Activation: tanh, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0684, Accuracy: 52.86%
Batch Size: 64, Hidden Layers: [4, 8], Activation: tanh, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1623, Accuracy: 48.98%
Batch Size: 16, Hidden Layers: [4, 8], Activation: tanh, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0651, Accuracy: 53.67%
Batch Size: 32, Hidden Layers: [4, 8], Activation: tanh, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0419, Accuracy: 56.53%
Batch Size: 64, Hidden Layers: [4, 8], Activation: tanh, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0423, Accuracy: 58.16%
Batch Size: 16, Hidden Layers: [4, 8], Activation: tanh, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0502, Accuracy: 56.12%
Batch Size: 32, Hidden Layers: [4, 8], Activation: tanh, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0573, Accuracy: 56.33%
Batch Size: 64, Hidden Layers: [4, 8], Activation: tanh, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0510, Accuracy: 55.51%
Batch Size: 16, Hidden Layers: [4, 8], Activation: tanh, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.0822, Accuracy: 52.24%
Batch Size: 32, Hidden Layers: [4, 8], Activation: tanh, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.0869, Accuracy: 54.69%
Batch Size: 64, Hidden Layers: [4, 8], Activation: tanh, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1751, Accuracy: 54.49%
Batch Size: 16, Hidden Layers: [4, 8], Activation: linear, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1619, Accuracy: 47.14%
Batch Size: 32, Hidden Layers: [4, 8], Activation: linear, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1304, Accuracy: 52.04%
Batch Size: 64, Hidden Layers: [4, 8], Activation: linear, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0988, Accuracy: 55.10%
Batch Size: 16, Hidden Layers: [4, 8], Activation: linear, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0855, Accuracy: 54.29%
Batch Size: 32, Hidden Layers: [4, 8], Activation: linear, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.1003, Accuracy: 51.22%
Batch Size: 64, Hidden Layers: [4, 8], Activation: linear, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0725, Accuracy: 54.29%
Batch Size: 16, Hidden Layers: [4, 8], Activation: linear, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.0908, Accuracy: 53.47%
Batch Size: 32, Hidden Layers: [4, 8], Activation: linear, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.0903, Accuracy: 53.27%
Batch Size: 64, Hidden Layers: [4, 8], Activation: linear, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.1598, Accuracy: 51.43%
Batch Size: 16, Hidden Layers: [4, 8], Activation: linear, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.5096, Accuracy: 45.10%
Batch Size: 32, Hidden Layers: [4, 8], Activation: linear, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.5779, Accuracy: 48.98%
Batch Size: 64, Hidden Layers: [4, 8], Activation: linear, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.8309, Accuracy: 7.96%
Batch Size: 16, Hidden Layers: [4, 8], Activation: linear, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.2190, Accuracy: 47.35%
Batch Size: 32, Hidden Layers: [4, 8], Activation: linear, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1197, Accuracy: 53.06%
Batch Size: 64, Hidden Layers: [4, 8], Activation: linear, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1071, Accuracy: 51.22%
Batch Size: 16, Hidden Layers: [4, 8], Activation: linear, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0699, Accuracy: 53.67%
Batch Size: 32, Hidden Layers: [4, 8], Activation: linear, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0617, Accuracy: 54.69%
Batch Size: 64, Hidden Layers: [4, 8], Activation: linear, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0668, Accuracy: 54.69%
Batch Size: 16, Hidden Layers: [4, 8], Activation: linear, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0751, Accuracy: 56.12%
Batch Size: 32, Hidden Layers: [4, 8], Activation: linear, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0725, Accuracy: 55.31%
Batch Size: 64, Hidden Layers: [4, 8], Activation: linear, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0674, Accuracy: 54.49%
Batch Size: 16, Hidden Layers: [4, 8], Activation: linear, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.1064, Accuracy: 55.71%
Batch Size: 32, Hidden Layers: [4, 8], Activation: linear, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.1760, Accuracy: 53.06%
Batch Size: 64, Hidden Layers: [4, 8], Activation: linear, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.2953, Accuracy: 50.61%
Batch Size: 16, Hidden Layers: [4, 8], Activation: linear, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.2126, Accuracy: 45.31%
Batch Size: 32, Hidden Layers: [4, 8], Activation: linear, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1144, Accuracy: 54.69%
Batch Size: 64, Hidden Layers: [4, 8], Activation: linear, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0945, Accuracy: 54.08%
Batch Size: 16, Hidden Layers: [4, 8], Activation: linear, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0710, Accuracy: 52.24%
Batch Size: 32, Hidden Layers: [4, 8], Activation: linear, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0784, Accuracy: 52.86%
Batch Size: 64, Hidden Layers: [4, 8], Activation: linear, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0676, Accuracy: 51.63%
Batch Size: 16, Hidden Layers: [4, 8], Activation: linear, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0722, Accuracy: 54.90%
Batch Size: 32, Hidden Layers: [4, 8], Activation: linear, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0762, Accuracy: 55.31%
Batch Size: 64, Hidden Layers: [4, 8], Activation: linear, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0676, Accuracy: 53.67%
Batch Size: 16, Hidden Layers: [4, 8], Activation: linear, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.0895, Accuracy: 54.29%
Batch Size: 32, Hidden Layers: [4, 8], Activation: linear, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.0972, Accuracy: 54.08%
Batch Size: 64, Hidden Layers: [4, 8], Activation: linear, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1225, Accuracy: 55.10%
Batch Size: 16, Hidden Layers: [4, 8], Activation: softmax, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1086, Accuracy: 51.02%
Batch Size: 32, Hidden Layers: [4, 8], Activation: softmax, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1250, Accuracy: 49.18%
Batch Size: 64, Hidden Layers: [4, 8], Activation: softmax, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1139, Accuracy: 50.82%
Batch Size: 16, Hidden Layers: [4, 8], Activation: softmax, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0575, Accuracy: 51.84%
Batch Size: 32, Hidden Layers: [4, 8], Activation: softmax, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0490, Accuracy: 54.29%
Batch Size: 64, Hidden Layers: [4, 8], Activation: softmax, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0707, Accuracy: 52.65%
Batch Size: 16, Hidden Layers: [4, 8], Activation: softmax, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.2412, Accuracy: 49.18%
Batch Size: 32, Hidden Layers: [4, 8], Activation: softmax, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.3163, Accuracy: 49.18%
Batch Size: 64, Hidden Layers: [4, 8], Activation: softmax, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.4406, Accuracy: 49.18%
Batch Size: 16, Hidden Layers: [4, 8], Activation: softmax, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.7066, Accuracy: 49.18%
Batch Size: 32, Hidden Layers: [4, 8], Activation: softmax, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.7744, Accuracy: 27.55%
Batch Size: 64, Hidden Layers: [4, 8], Activation: softmax, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.7243, Accuracy: 2.04%
Batch Size: 16, Hidden Layers: [4, 8], Activation: softmax, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1121, Accuracy: 50.20%
Batch Size: 32, Hidden Layers: [4, 8], Activation: softmax, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0724, Accuracy: 55.51%
Batch Size: 64, Hidden Layers: [4, 8], Activation: softmax, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0377, Accuracy: 55.10%
Batch Size: 16, Hidden Layers: [4, 8], Activation: softmax, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0022, Accuracy: 55.31%
Batch Size: 32, Hidden Layers: [4, 8], Activation: softmax, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0073, Accuracy: 56.73%
Batch Size: 64, Hidden Layers: [4, 8], Activation: softmax, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0187, Accuracy: 56.12%
Batch Size: 16, Hidden Layers: [4, 8], Activation: softmax, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0302, Accuracy: 58.16%
Batch Size: 32, Hidden Layers: [4, 8], Activation: softmax, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0642, Accuracy: 54.90%
Batch Size: 64, Hidden Layers: [4, 8], Activation: softmax, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.1074, Accuracy: 54.08%
Batch Size: 16, Hidden Layers: [4, 8], Activation: softmax, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.3163, Accuracy: 49.18%
Batch Size: 32, Hidden Layers: [4, 8], Activation: softmax, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.4551, Accuracy: 27.55%
Batch Size: 64, Hidden Layers: [4, 8], Activation: softmax, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.4986, Accuracy: 49.18%
Batch Size: 16, Hidden Layers: [4, 8], Activation: softmax, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1016, Accuracy: 53.27%
Batch Size: 32, Hidden Layers: [4, 8], Activation: softmax, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1068, Accuracy: 51.84%
Batch Size: 64, Hidden Layers: [4, 8], Activation: softmax, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1014, Accuracy: 50.20%
Batch Size: 16, Hidden Layers: [4, 8], Activation: softmax, LR: 0.01, Epochs: 100, Validation Loss (MSE): 0.9947, Accuracy: 57.35%
Batch Size: 32, Hidden Layers: [4, 8], Activation: softmax, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0032, Accuracy: 56.94%
Batch Size: 64, Hidden Layers: [4, 8], Activation: softmax, LR: 0.01, Epochs: 100, Validation Loss (MSE): 0.9995, Accuracy: 56.12%
Batch Size: 16, Hidden Layers: [4, 8], Activation: softmax, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0475, Accuracy: 56.53%
Batch Size: 32, Hidden Layers: [4, 8], Activation: softmax, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0352, Accuracy: 54.90%
Batch Size: 64, Hidden Layers: [4, 8], Activation: softmax, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0858, Accuracy: 50.20%
Batch Size: 16, Hidden Layers: [4, 8], Activation: softmax, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1955, Accuracy: 49.18%
Batch Size: 32, Hidden Layers: [4, 8], Activation: softmax, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.3127, Accuracy: 49.18%
Batch Size: 64, Hidden Layers: [4, 8], Activation: softmax, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.3760, Accuracy: 49.18%
Batch Size: 16, Hidden Layers: [16, 32], Activation: relu, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1895, Accuracy: 47.55%
Batch Size: 32, Hidden Layers: [16, 32], Activation: relu, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0924, Accuracy: 49.18%
Batch Size: 64, Hidden Layers: [16, 32], Activation: relu, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0518, Accuracy: 53.88%
Batch Size: 16, Hidden Layers: [16, 32], Activation: relu, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0140, Accuracy: 57.35%
Batch Size: 32, Hidden Layers: [16, 32], Activation: relu, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0397, Accuracy: 54.90%
Batch Size: 64, Hidden Layers: [16, 32], Activation: relu, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0229, Accuracy: 55.92%
Batch Size: 16, Hidden Layers: [16, 32], Activation: relu, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.0176, Accuracy: 56.12%
Batch Size: 32, Hidden Layers: [16, 32], Activation: relu, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.0519, Accuracy: 53.67%
Batch Size: 64, Hidden Layers: [16, 32], Activation: relu, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.0680, Accuracy: 54.49%
Batch Size: 16, Hidden Layers: [16, 32], Activation: relu, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.2462, Accuracy: 49.59%
Batch Size: 32, Hidden Layers: [16, 32], Activation: relu, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.3499, Accuracy: 48.37%
Batch Size: 64, Hidden Layers: [16, 32], Activation: relu, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.5775, Accuracy: 34.29%
Batch Size: 16, Hidden Layers: [16, 32], Activation: relu, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.2746, Accuracy: 49.18%
Batch Size: 32, Hidden Layers: [16, 32], Activation: relu, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0663, Accuracy: 50.82%
Batch Size: 64, Hidden Layers: [16, 32], Activation: relu, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0770, Accuracy: 53.47%
Batch Size: 16, Hidden Layers: [16, 32], Activation: relu, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.2308, Accuracy: 53.27%
Batch Size: 32, Hidden Layers: [16, 32], Activation: relu, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.2982, Accuracy: 54.90%
Batch Size: 64, Hidden Layers: [16, 32], Activation: relu, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.1291, Accuracy: 56.94%
Batch Size: 16, Hidden Layers: [16, 32], Activation: relu, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0302, Accuracy: 54.49%
Batch Size: 32, Hidden Layers: [16, 32], Activation: relu, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0117, Accuracy: 54.08%
Batch Size: 64, Hidden Layers: [16, 32], Activation: relu, LR: 0.001, Epochs: 50, Validation Loss (MSE): 0.9938, Accuracy: 56.94%
